year,month,day,zone,location,vessel,gear,sampler,project,crab.number,sex,shell.condition,carapace.width,abdomen.width,weight,egg.colour,eggs.remaining,gonad.colour,gonad.weight,hepato.weight,missing.legs.left,missing.legs.right,maturity,barnacles,sprioidea,egg.colour.L,egg.colour.a,egg.colour.b,gonad.colour.L,gonad.colour.a,gonad.colour.b,hepato.colour.L,hepato.colour.a,hepato.colour.b,egg.weight,sample.egg.count,sample.egg.weight,fecundity,egg.development,egg.comment,histology.sample,
2022,5,9,12,Baie des Chaleurs,Perley,Traps,"Allain, Moriyasu, JF, Ylarocque","Colorimeter, Fecundity",1,2,4,67.56,46.58,132.4,1,4,2,6.272,4.981,*****,*****,M,*,*,54.09,25.7,36.93,62.79,2.26,13.2,49.23,4.24,20.77,5.3571,515,0.0353,78156,nf,Worms ,Y,
2022,5,9,12,Baie des Chaleurs,Perley,Traps,"Allain, Moriyasu, JF, Ylarocque","Colorimeter, Fecundity",2,2,4,62.99,43.61,89.1,2,3,2,1.6138,2.6557,*1***,*****,M,*,*,49.89,28.11,33.75,56.67,9.1,17.49,26.32,4.89,-3.54,2.0752,608,0.0315,40055,nf,*,Y,
2022,5,9,12,Baie des Chaleurs,Perley,Traps,"Allain, Moriyasu, JF, Ylarocque","Colorimeter, Fecundity",3,2,4,61.38,43.41,103.1,2,4,2,1.5121,3.619,**1**,*****,M,*,*,52.9,30.1,38.71,59.9,9.89,20.08,44.07,5.22,20.34,3.8280,513,0.0326,60238,nf,Worms,Y,
2022,5,9,12,Baie des Chaleurs,Perley,Traps,"Allain, Moriyasu, JF, Ylarocque","Colorimeter, Fecundity",4,2,4,69.5,46.91,121.5,2,4,3,5.1282,8.1759,*****,***1*,M,*,*,42.7,22.98,24.75,58.32,28.66,43.71,45.18,4,13.41,3.0549,489,0.0302,49465,7,Cocoon 1%,Y,
2022,5,9,12,Baie des Chaleurs,Perley,Traps,"Allain, Moriyasu, JF, Ylarocque","Colorimeter, Fecundity",5,2,4,67.82,46.19,100.9,2,4,3,3.7324,5.3164,*1***,*1***,M,*,*,41.42,26.16,22.44,56.58,30.84,42.81,45.71,12.03,24.31,3.1088,497,0.0303,50993,6,*,Y,
2022,5,9,12,Baie des Chaleurs,Perley,Traps,"Allain, Moriyasu, JF, Ylarocque","Colorimeter, Fecundity",6,2,4,60.66,42.53,92.7,2,4,2,1.9084,3.3611,*****,*****,M,*,*,50.85,29.42,36.26,53.32,18.93,28.43,42.69,4.89,17.78,2.9684,529,0.0325,48316,nf,*,Y,
2022,5,9,12,Baie des Chaleurs,Perley,Traps,"Allain, Moriyasu, JF, Ylarocque","Colorimeter, Fecundity",7,2,4,69.33,48.21,135.1,2,4,2,1.8206,5.0403,*****,*****,M,*,*,50.56,29.01,37.28,65.11,3.03,12.77,37.99,5.22,12.21,5.0763,453,0.0309,74420,nf,*,Y,
2022,5,9,12,Baie des Chaleurs,Perley,Traps,"Allain, Moriyasu, JF, Ylarocque","Colorimeter, Fecundity",8,2,4,63.08,43.06,100,2,4,2,1.5567,3.5326,*****,*****,M,*,*,49.6,29.93,35.94,61.52,6.51,17.51,43.11,5.59,18.1,3.5074,455,0.0302,52843,nf,Worms 1%,Y,
2022,5,9,12,Baie des Chaleurs,Perley,Traps,"Allain, Moriyasu, JF, Ylarocque","Colorimeter, Fecundity",9,2,4,77.37,56.75,175.7,2,3,3,5.8118,8.5052,***1*,*****,M,*,*,43.64,23.33,26.97,52.63,23.45,35.91,40.45,5.82,14.73,3.9252,504,0.0328,60314,7,*,Y,
2022,5,9,12,Baie des Chaleurs,Perley,Traps,"Allain, Moriyasu, JF, Ylarocque","Colorimeter, Fecundity",10,2,3m,65.07,44.04,100.1,2,4,3,4.7806,5.155,*****,*****,M,*,*,41,22.47,21.83,58.14,27.85,44.81,45.67,6.35,19.35,3.2520,522,0.0299,56774,8,*,Y,
