year,month,day,project,location,gear,vessel,tow.number,preservation,zone,lat,long,secteur,station,crab.number,sex,condition,reproductive.status,carapace.width,abdomen.width,crab weight,egg.color,gonad.color,gonad.weight,eggs.remaining,sample.egg.weight, sample egg.count,total.egg.weight,total egg count,missing.legs.left,missing.legs.right,spermatheca.weight,spermatheca.volume,sperm.square.count,sperm.sample.volume,sperm.sample.count,sperm.color,spermatheca.#sperm,egg.development,Egg comment,parasite,eggs.dropped,eggs.valid,comment,poids hepato,Sperm.points noires,Proteines,Egg L,Egg a,Egg b,Eggs vis,Gon L,Gon a,Gon b,Gon vis,Hep L,Hep a,Hep b,Hep vis
1989,5,2,,,,,,,,,,,,E-65,2,,M,56.0,38.1,,OC,3,,,,,,23896.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,5,2,,,,,,,,,,,,E-81,2,,P,63.5,42.2,,OC,1,,,,,,33470.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,5,3,,,,,,,,,,,,C-124,2,,P,70.9,49.0,,OC,3,,,,,,46543.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,5,3,,,,,,,,,,,,C-127,2,,P,60.8,41.1,,OC,1,,,,,,31014.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,5,3,,,,,,,,,,,,C-128,2,,P,77.2,56.0,,OC,2,,,,,,60881.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,5,3,,,,,,,,,,,,C-132,2,,P,73.1,52.0,,OC,3,,,,,,57249.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,5,3,,,,,,,,,,,,C-136,2,,P,68.5,47.4,,OC,2,,,,,,43852.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,5,3,,,,,,,,,,,,C-137,2,,P,68.4,45.3,,OC,2,,,,,,48234.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,5,3,,,,,,,,,,,,C-139,2,,P,65.0,45.0,,OC,3,,,,,,34764.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,5,3,,,,,,,,,,,,C-140,2,,P,65.5,45.0,,OC,2,,,,,,43970.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,5,3,,,,,,,,,,,,C-141,2,,P,80.2,55.0,,OC,2,,,,,,75455.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,5,3,,,,,,,,,,,,C-144,2,,P,61.0,41.1,,OC,3,,,,,,37279.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,5,3,,,,,,,,,,,,C-145,2,,P,71.9,50.8,,OC,3,,,,,,50102.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,5,3,,,,,,,,,,,,C-146,2,,P,71.0,48.2,,OC,3,,,,,,52940.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,5,3,,,,,,,,,,,,C-147,2,,P,72.9,50.2,,OC,2,,,,,,57190.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,5,3,,,,,,,,,,,,C-151,2,,P,78.7,56.2,,OC,3,,,,,,77558.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,5,3,,,,,,,,,,,,C-152,2,,P,58.0,40.0,,OC,2,,,,,,32235.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,6,3,,,,,,,,,,,,H-03,2,,M,63.0,43.9,,OF,3,,,,,,46764.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,6,3,,,,,,,,,,,,H-14,2,,M,63.9,44.6,,OF,3,,,,,,48676.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,6,3,,,,,,,,,,,,H-18,2,,M,66.0,46.5,,OF,3,,,,,,76352.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,6,3,,,,,,,,,,,,H-22,2,,M,64.5,43.0,,OF,3,,,,,,53676.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,6,3,,,,,,,,,,,,H-23,2,,M,68.0,48.0,,OF,3,,,,,,53323.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,6,3,,,,,,,,,,,,H-25,2,,M,66.0,46.6,,OF,3,,,,,,59176.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,6,3,,,,,,,,,,,,H-30,2,,M,74.0,51.0,,OF,3,,,,,,84175.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,6,3,,,,,,,,,,,,H-33,2,,M,71.1,49.0,,OF,3,,,,,,64675.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,6,3,,,,,,,,,,,,H-35,2,,M,79.1,53.5,,OF,3,,,,,,84661.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,6,3,,,,,,,,,,,,H-37,2,,M,77.1,56.0,,OF,3,,,,,,108528.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,6,3,,,,,,,,,,,,H-41,2,,M,80.2,54.1,,OF,3,,,,,,76205.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,6,3,,,,,,,,,,,,H-42,2,,M,91.5,62.9,,OF,3,,,,,,127910.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,6,3,,,,,,,,,,,,H-43,2,,M,81.6,59.0,,OF,3,,,,,,127204.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
