Date Sampled,Start Time,End Time,Date Measured,Zone,Location,Vessel,Sampler,Latitude,Longitude,Depth,Trap #,Crab #,Sex,Shell Condition,Carapace Width,Claw Height,Abd Width,Egg Color,Hepato Color,Hepato Texture,% Eggs Remaining,Gonad Color,Egg details,Missing Legs,Maturity,Barnacles,Spiroidea,Cigarette Burn,Egg Col L,Egg Col a,Egg Col b,Gon Col L,Gon Col a,Gon Col b,Hep Col L,Hep Col a,Hep Col b,Commentaire,Crab Weight,Gonad Weight,Hepato Weight
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,1,F,4,63.73,*,43.44,OF,*,*,100,Bei,*,**1*******,M,2,*,*,43.12,25.62,37.6,*,*,*,*,*,*,Missing gonad and hepato colorimeter,90.6,0.8045,4.093
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,2,F,3,63.04,*,45.67,O ,*,*,100,O,*,*22***11**,M,*,*,*,41.74,26.46,34.06,57.55,34.24,52.42,47.86,6.99,24.7,*,79.7,3.369,5.0955
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,3,F,4,65.46,*,65.4,O,*,*,100,O,*,**********,M,10,*,*,43.83,28.58,37.86,63.28,14.75,33.38,37.78,5.87,15.74,*,118.6,1.7365,3.3029
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,4,F,4,63.11,*,63,O ,*,*,100,OC,*,******11**,M,*,*,*,*,*,*,55.8,13.59,31.03,37.7,6.09,13.13,Egg colorimeter missing,89.3,1.1745,4.6353
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,5,F,4,63.98,*,44.57,O,*,*,100,O,*,**1*1*****,M,2,*,*,*,*,*,50.8,36.6,45.44,43.12,7.21,20.55,Egg colorimeter missing,93.5,5.2164,5.2825
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,6,F,4,67.57,*,43.52,O ,*,*,50,Bei,*,**1***1***,M,5,*,*,*,*,*,56.76,10.97,25.38,38.64,8.41,14.76,Egg colorimeter missing,44.8,1.1455,5.5716
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,7,F,4,61.74,*,44.59,O,*,*,100,OC,*,*1****1***,M,*,*,*,*,*,*,55.48,25.5,37.01,45.67,4.99,16.74,Egg colorimeter missing,87.1,2.0263,5.3067
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,8,F,4,57.34,*,66.82,O ,*,*,100,Bei,*,***111***1,M,4,*,*,*,*,*,60.21,13.4,27.83,38.7,5.55,9.8,Egg colorimeter missing,100.7,1.4383,4.7939
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,9,F,4,48.33,*,48.19,O,*,*,100,Bei,*,*********1,M,2,*,*,50.1,26.55,38.1,59.69,23.07,36.29,33.04,6.85,4.25,*,81.6,1.2474,4.7613
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,10,F,4,51.36,*,51.75,O ,*,*,100,O,*,******2***,M,*,*,*,*,*,*,54.82,30.8,38.33,43.91,5.08,11.67,Egg colorimeter missing,118.8,1.701,6.0404
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,11,F,4,59.94,*,38.25,O,*,*,100,O,*,*1********,M,15,*,*,49.07,26.03,33.12,55.46,34.17,40.47,47.19,4.95,16.55,*,113.6,2.8007,8.5105
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,12,F,4,48.64,*,30.1,O ,*,*,100,OC,*,*1********,M,*,*,*,48,20.41,26.29,58.81,21.29,36.17,38.17,5.15,7.03,*,80.1,0.9672,4.0581
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,13,F,4,62.43,*,43.95,O,*,*,100,O,*,*11*******,M,*,*,*,43.81,26.13,24.76,54.03,37.34,42.54,55.12,4.54,20.86,*,76.9,3.9933,6.587
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,14,F,4,53.22,*,37.02,O ,*,*,100,O,*,**********,M,1,*,*,47.82,26.99,31.81,53.25,26.81,32.03,45.14,6.08,13.94,*,58.8,1.0894,3.9608
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,15,F,4,53.01,*,38.07,O,*,*,100,OC,*,1*********,M,*,*,*,42.48,23.02,13.33,59.38,26.51,40.74,39.85,4.97,10.38,*,67.5,0.8757,2.9791
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,16,F,4,60.58,*,42.01,O ,*,*,100,Bei,*,*1********,M,*,*,*,46.3,22.31,28.38,66.97,7.95,25.14,35.63,5.46,10.45,*,80.3,0.9929,3.5302
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,17,F,4,53.04,*,37.65,O,*,*,100,O,*,***11***1*,M,1,*,*,47.07,24.82,31.45,56.98,30.6,43.54,44.42,5.99,18.31,*,51.5,1.8888,3.373
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,18,F,4,68.37,*,48.99,O ,*,*,100,OC,*,1*********,M,*,*,*,45.3,15.42,26.12,64.29,17.86,36.44,33.27,4.94,6.82,*,111.4,1.8285,5.0455
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,19,F,3,57.12,*,41.83,O,*,*,100,O,*,*1**1**1**,M,*,*,*,47.22,26.73,37.13,56.1,35.03,48.93,44.74,5.32,20.55,*,60.2,1.3851,4.5681
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,20,F,3,68.88,*,46.54,O ,*,*,100,OC,*,***1***1**,M,10,*,*,48.47,23.57,33.24,55,25.34,39.79,40.01,5.57,13.27,*,121.5,1.9146,6.1532
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,21,F,4,59.61,*,41.19,O,*,*,100,O,*,*2********,M,*,*,*,42.98,22.88,29.58,54.31,29.25,41.93,44.29,8.42,22.77,*,72.8,1.5508,4.9432
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,22,F,4,64,*,48.09,O ,*,*,100,O,*,*1***1****,M,*,*,*,44.4,23.28,31.9,53.37,36.8,49.81,42.21,5.49,15.61,*,96.1,5.9761,5.7715
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,23,F,4,61.33,*,44.35,O,*,*,100,O,*,*****1****,M,2,*,*,46.6,27.33,36.09,53.42,35.78,43.08,46.1,4.88,17.59,*,81.5,2.0778,5.6843
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,24,F,4,67.85,*,48.69,O ,*,*,100,O,*,*1****1***,M,*,*,*,*,*,*,55.91,32.11,45.44,41.15,7.63,17.14,Egg colorimeter missing; Hep Col L missing from original,108,2.317,*6.9094
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,25,F,4,60.63,*,42.7,O,*,*,100,OC,*,**********,M,*,*,*,48.49,28.95,34.58,*,*,*,*,*,*,Missing gonad and hepato colorimeter  *Hep weight possibly 0.9094 (see data sheet)   ,85.1,1.3932,4.9709
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,26,F,4,63.18,*,44.47,O ,*,*,100,O,*,*1*****1**,M,*,*,*,45.71,30.38,30.27,56.85,22.8,33.16,44.32,6.7,12.04,*,91.6,2.2708,5.7957
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,27,F,4,49.66,*,32.31,O,*,*,75,OC,*,******1***,M,6,*,*,40.64,24.92,22.73,55.19,34.16,42.67,43.95,8.93,21.27,*,42.9,0.817,3.7043
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,28,F,4,61.32,*,44.54,O ,*,*,100,O,*,*1********,M,*,*,*,40,26.43,23.02,55.2,28.41,39.22,48.67,7.61,23.59,*,90.8,4.9678,4.6321
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,29,F,4,57.3,*,38.98,O,*,*,100,O,*,**2*******,M,*,*,*,42.88,26.2,28.59,51.75,39.07,43.45,47.71,6.33,18.47,*,72.1,3.637,5.13
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,30,F,4,60.08,*,44.41,O ,*,*,100,O,*,********1*,M,*,*,*,42.5,28.06,26.07,49.97,36.89,39.95,46.69,7.27,17.96,*,85.6,4.1744,4.6942
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,31,F,4,62.35,*,42.38,O,*,*,100,O,*,***11*****,M,*,*,*,43.39,26.42,25.92,51.86,37.47,43.19,47.73,5.12,17.83,*,80.6,4.1407,5.7318
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,32,F,4,64.19,*,44.47,O ,*,*,100,Bei,*,******1***,M,5,*,*,42.93,26.15,26.12,65.85,6.28,21.71,30.1,8.3,1.62,*,87.8,1.1436,3.7825
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,33,F,4,65.38,*,47.69,O,*,*,100,O,*,**1*******,M,11,*,*,43.88,26.71,25.03,55.39,37.63,46.39,47.64,6.65,18.36,*,108.4,5.2537,5.9544
13072021,*,*,14072021,,From Snow Crab Survey,,Allain; Moriyasu; Klandry,*,*,*,*,34,F,4,66.9,*,48.11,O ,*,*,100,O,*,**********,M,*,*,*,44.44,24.69,23.6,53.63,36.3,39.56,45,6.8,13.75,*,104.2,2.3149,7.5549
