"date.sampled","date.measured","location","vessel","sampler","crab.number","sex","shell.condition","carapace.width","abdomen.width","egg.colour","eggs.remaining","gonad.colour","missing.legs","maturity","barnacles","egg.colour.l","egg.colour.a","egg.colour.b","gonad.colour.l","gonad.colour.a","gonad.colour.b","hepato.colour.l","hepato.colour.a","hepato.colour.b","comment","crab.weight","gonad.weight","hepato.weight"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",1,2,4,63.73,43.44,"dark orange",100,"beige","**1*******","multiparous","2",43.12,25.62,37.6,NA,NA,NA,NA,NA,NA,"Missing gonad and hepato colorimeter",90.6,0.8045,"4.093"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",2,2,3,63.04,45.67,"orange",100,"orange","*22***11**","multiparous","",41.74,26.46,34.06,57.55,34.24,52.42,47.86,6.99,24.7,"",79.7,3.369,"5.0955"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",3,2,4,65.46,65.4,"orange",100,"orange","**********","multiparous","10",43.83,28.58,37.86,63.28,14.75,33.38,37.78,5.87,15.74,"",118.6,1.7365,"3.3029"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",4,2,4,63.11,63,"orange",100,"light orange","******11**","multiparous","",NA,NA,NA,55.8,13.59,31.03,37.7,6.09,13.13,"Egg colorimeter missing",89.3,1.1745,"4.6353"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",5,2,4,63.98,44.57,"orange",100,"orange","**1*1*****","multiparous","2",NA,NA,NA,50.8,36.6,45.44,43.12,7.21,20.55,"Egg colorimeter missing",93.5,5.2164,"5.2825"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",6,2,4,67.57,43.52,"orange",50,"beige","**1***1***","multiparous","5",NA,NA,NA,56.76,10.97,25.38,38.64,8.41,14.76,"Egg colorimeter missing",44.8,1.1455,"5.5716"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",7,2,4,61.74,44.59,"orange",100,"light orange","*1****1***","multiparous","",NA,NA,NA,55.48,25.5,37.01,45.67,4.99,16.74,"Egg colorimeter missing",87.1,2.0263,"5.3067"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",8,2,4,57.34,66.82,"orange",100,"beige","***111***1","multiparous","4",NA,NA,NA,60.21,13.4,27.83,38.7,5.55,9.8,"Egg colorimeter missing",100.7,1.4383,"4.7939"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",9,2,4,48.33,48.19,"orange",100,"beige","*********1","multiparous","2",50.1,26.55,38.1,59.69,23.07,36.29,33.04,6.85,4.25,"",81.6,1.2474,"4.7613"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",10,2,4,51.36,51.75,"orange",100,"orange","******2***","multiparous","",NA,NA,NA,54.82,30.8,38.33,43.91,5.08,11.67,"Egg colorimeter missing",118.8,1.701,"6.0404"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",11,2,4,59.94,38.25,"orange",100,"orange","*1********","multiparous","15",49.07,26.03,33.12,55.46,34.17,40.47,47.19,4.95,16.55,"",113.6,2.8007,"8.5105"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",12,2,4,48.64,30.1,"orange",100,"light orange","*1********","multiparous","",48,20.41,26.29,58.81,21.29,36.17,38.17,5.15,7.03,"",80.1,0.9672,"4.0581"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",13,2,4,62.43,43.95,"orange",100,"orange","*11*******","multiparous","",43.81,26.13,24.76,54.03,37.34,42.54,55.12,4.54,20.86,"",76.9,3.9933,"6.587"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",14,2,4,53.22,37.02,"orange",100,"orange","**********","multiparous","1",47.82,26.99,31.81,53.25,26.81,32.03,45.14,6.08,13.94,"",58.8,1.0894,"3.9608"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",15,2,4,53.01,38.07,"orange",100,"light orange","1*********","multiparous","",42.48,23.02,13.33,59.38,26.51,40.74,39.85,4.97,10.38,"",67.5,0.8757,"2.9791"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",16,2,4,60.58,42.01,"orange",100,"beige","*1********","multiparous","",46.3,22.31,28.38,66.97,7.95,25.14,35.63,5.46,10.45,"",80.3,0.9929,"3.5302"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",17,2,4,53.04,37.65,"orange",100,"orange","***11***1*","multiparous","1",47.07,24.82,31.45,56.98,30.6,43.54,44.42,5.99,18.31,"",51.5,1.8888,"3.373"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",18,2,4,68.37,48.99,"orange",100,"light orange","1*********","multiparous","",45.3,15.42,26.12,64.29,17.86,36.44,33.27,4.94,6.82,"",111.4,1.8285,"5.0455"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",19,2,3,57.12,41.83,"orange",100,"orange","*1**1**1**","multiparous","",47.22,26.73,37.13,56.1,35.03,48.93,44.74,5.32,20.55,"",60.2,1.3851,"4.5681"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",20,2,3,68.88,46.54,"orange",100,"light orange","***1***1**","multiparous","10",48.47,23.57,33.24,55,25.34,39.79,40.01,5.57,13.27,"",121.5,1.9146,"6.1532"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",21,2,4,59.61,41.19,"orange",100,"orange","*2********","multiparous","",42.98,22.88,29.58,54.31,29.25,41.93,44.29,8.42,22.77,"",72.8,1.5508,"4.9432"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",22,2,4,64,48.09,"orange",100,"orange","*1***1****","multiparous","",44.4,23.28,31.9,53.37,36.8,49.81,42.21,5.49,15.61,"",96.1,5.9761,"5.7715"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",23,2,4,61.33,44.35,"orange",100,"orange","*****1****","multiparous","2",46.6,27.33,36.09,53.42,35.78,43.08,46.1,4.88,17.59,"",81.5,2.0778,"5.6843"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",24,2,4,67.85,48.69,"orange",100,"orange","*1****1***","multiparous","",NA,NA,NA,55.91,32.11,45.44,41.15,7.63,17.14,"Egg colorimeter missing; Hep Col L missing from original",108,2.317,"*6.9094"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",25,2,4,60.63,42.7,"orange",100,"light orange","**********","multiparous","",48.49,28.95,34.58,NA,NA,NA,NA,NA,NA,"Missing gonad and hepato colorimeter  *Hep weight possibly 0.9094 (see data sheet)   ",85.1,1.3932,"4.9709"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",26,2,4,63.18,44.47,"orange",100,"orange","*1*****1**","multiparous","",45.71,30.38,30.27,56.85,22.8,33.16,44.32,6.7,12.04,"",91.6,2.2708,"5.7957"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",27,2,4,49.66,32.31,"orange",75,"light orange","******1***","multiparous","6",40.64,24.92,22.73,55.19,34.16,42.67,43.95,8.93,21.27,"",42.9,0.817,"3.7043"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",28,2,4,61.32,44.54,"orange",100,"orange","*1********","multiparous","",40,26.43,23.02,55.2,28.41,39.22,48.67,7.61,23.59,"",90.8,4.9678,"4.6321"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",29,2,4,57.3,38.98,"orange",100,"orange","**2*******","multiparous","",42.88,26.2,28.59,51.75,39.07,43.45,47.71,6.33,18.47,"",72.1,3.637,"5.13"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",30,2,4,60.08,44.41,"orange",100,"orange","********1*","multiparous","",42.5,28.06,26.07,49.97,36.89,39.95,46.69,7.27,17.96,"",85.6,4.1744,"4.6942"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",31,2,4,62.35,42.38,"orange",100,"orange","***11*****","multiparous","",43.39,26.42,25.92,51.86,37.47,43.19,47.73,5.12,17.83,"",80.6,4.1407,"5.7318"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",32,2,4,64.19,44.47,"orange",100,"beige","******1***","multiparous","5",42.93,26.15,26.12,65.85,6.28,21.71,30.1,8.3,1.62,"",87.8,1.1436,"3.7825"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",33,2,4,65.38,47.69,"orange",100,"orange","**1*******","multiparous","11",43.88,26.71,25.03,55.39,37.63,46.39,47.64,6.65,18.36,"",108.4,5.2537,"5.9544"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",34,2,4,66.9,48.11,"orange",100,"orange","**********","multiparous","",44.44,24.69,23.6,53.63,36.3,39.56,45,6.8,13.75,"",104.2,2.3149,"7.5549"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",35,2,4,64.58,45.43,"orange",100,"orange","**********","multiparous","",47.52,26.89,27.72,55.85,31.99,38.32,51.92,4.87,18.59,"",95.8,1.7852,"6.3971"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",36,2,4,64.51,46.08,"orange",100,"orange","1*****1***","multiparous","",45.79,26.69,25.51,54.83,34.22,38.18,38.23,8.73,11.26,"",87.6,1.81,"4.0351"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",37,2,4,62.42,61.08,"orange",75,"orange","***1**1*1*","multiparous","4",45.7,25.25,27.83,50.86,27.92,29.63,39.46,4.71,7.3,"",80.2,1.5044,"4.8376"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",38,2,4,63.28,43.73,"orange",100,"light orange","**********","multiparous","7",45.86,28.91,29.58,57.46,24.4,36,38.87,4.19,7.52,"",99.6,1.6883,"5.3"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",39,2,5,65.46,46.92,NA,100,"beige","*1**1*1111","multiparous","5",45.72,19.84,27.43,66.24,3.61,21.65,31.42,4.25,0.91,"*Egg color kind of beige",87.9,0.917,"2.0584"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",40,2,4,59.42,41.73,"orange",100,"orange","**********","multiparous","3",42.92,20.36,21.37,57.62,30.82,45.32,49.47,4.18,15.23,"",81.2,3.9932,"5.0278"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",41,2,4,66.05,46.4,"orange",100,"light orange","*******1**","multiparous","5",46.38,25.75,30.09,56.84,23.83,35.61,40.9,5.36,11.09,"",108.7,1.6974,"5.7761"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",42,2,4,65.33,45.29,"orange",100,"light orange","1*******1*","multiparous","",47.5,26.09,27.87,57.02,31.84,41.81,45.24,2.96,12.23,"",98.1,2.1897,"7.4737"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",43,2,5,67.12,48.39,"orange",70,"beige","*1*11*****","multiparous","",45,26.18,27.27,58.33,4.14,17.98,35.66,6.8,7.52,"",103.8,1.0345,"3.7859"
